canonical_smiles,JAK1,JAK2,JAK3,TYK2,Δ(JAK1-JAK2),Δ(JAK1-JAK3),Δ(JAK1-TYK2),Δmin_vs_other
C/C=C/C(=O)NCCc1ccc(F)c(C(=O)n2nc(Nc3ccc(C(=O)NC)cc3)nc2N)c1F,,6.245,,,,,,
C/C=C/C(=O)Nc1ccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,6.49,5.67,7.0,,0.8200000000000003,-0.5099999999999998,,-0.5099999999999998
C/C=C/C(=O)Nc1ccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)cc1,5.56,,7.12,,,-1.5600000000000005,,-1.5600000000000005
C/C=C/C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,5.94,5.85,8.21,,0.09000000000000075,-2.2700000000000005,,-2.2700000000000005
C/C=C/C(=O)Nc1ccc(-c2ccnc(Nc3cnn(CCOC)c3)n2)cc1,5.84,5.7,7.85,,0.13999999999999968,-2.01,,-2.01
C/C=C/C(=O)Nc1ccc(CNc2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)cc1,5.58,,7.0,,,-1.42,,-1.42
C/C=C/C(=O)Nc1ccc(CNc2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,5.69,,7.0,,,-1.3099999999999996,,-1.3099999999999996
C/C=C/C(=O)Nc1ccc(CNc2cc(Nc3cnn(C)c3)ncn2)cc1,5.8,,6.41,,,-0.6100000000000003,,-0.6100000000000003
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)c1,5.54,5.67,7.46,,-0.1299999999999999,-1.92,,-1.92
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(C)c3)ncn2)c1,5.82,5.56,6.25,,0.2600000000000007,-0.4299999999999997,,-0.4299999999999997
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CC(=O)NC)c3)ncn2)c1,,5.96,7.04,,,,,
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCN(C)C)c3)ncn2)c1,6.05,5.72,7.17,,0.33000000000000007,-1.12,,-1.12
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCO)c3)ncn2)c1,5.61,5.55,6.66,,0.0600000000000005,-1.0499999999999998,,-1.0499999999999998
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.89,5.59,7.54,,0.2999999999999998,-1.6500000000000004,,-1.6500000000000004
C/C=C/C(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,5.55,7.48,5.58,,,,
C/C=C/C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,6.32,8.8,,,,,
C/C=C/C(=O)Nc1cccc(CNc2c(C(N)=O)cnn3cccc23)c1,5.85,,6.76,,,-0.9100000000000001,,-0.9100000000000001
C/C=C/C(=O)Nc1cccc(CNc2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c1,5.74,,7.05,,,-1.3099999999999996,,-1.3099999999999996
C/C=C/C(=O)Nc1cccc(CNc2cc(Nc3cnn(C)c3)ncn2)c1,5.88,,6.47,,,-0.5899999999999999,,-0.5899999999999999
C/C=C/C(=O)Nc1cccc(Cn2c(=O)ccc3cnc(Nc4ccccc4OC)nc32)c1,,,5.32,,,,,
C/C=C/S(=O)(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,8.09,,,,,
C/C=C\C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,8.08,,,,,
C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,,7.05,,,,,,
C1=C/CN(CC2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,,5.82,,,,,,
C1=C/CN(Cc2ccccn2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,,5.87,,,,,,
C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,,6.82,,,,,,
C1=C/CNc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,,5.48,,,,,,
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cc(co2)COC/1,5.72,6.96,5.04,6.51,-1.2400000000000002,0.6799999999999997,-0.79,-1.2400000000000002
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,5.57,7.34,5.37,6.64,-1.7699999999999996,0.20000000000000018,-1.0699999999999994,-1.7699999999999996
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1,6.38,8.14,6.19,7.5,-1.7600000000000007,0.1899999999999995,-1.12,-1.7600000000000007
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,6.01,7.75,5.85,7.52,-1.7400000000000002,0.16000000000000014,-1.5099999999999998,-1.7400000000000002
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,,6.54,6.0,6.2,,,,
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2coc(c2)COC/1,5.52,7.17,5.06,6.92,-1.6500000000000004,0.45999999999999996,-1.4000000000000004,-1.6500000000000004
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1,5.82,7.77,6.17,7.33,-1.9499999999999993,-0.34999999999999964,-1.5099999999999998,-1.9499999999999993
C1=C/COCc2ccc(o2)-c2ccnc(n2)Nc2cccc(c2)COC/1,5.1,6.66,,6.17,-1.5600000000000005,,-1.0700000000000003,-1.5600000000000005
C1=C/COCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,,6.03,,6.02,,,,
C1=C/COc2ccc(o2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,,7.34,,6.64,,,,
C1=C/Cn2ccc3ccc(cc32)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,,7.2,5.94,,,,,
C1=C/Cn2ccc3ccc(cc32)-c2ccnc(n2)Nc2cccc(c2)COC/1,5.32,6.82,,6.82,-1.5,,-1.5,-1.5
C1=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)OCC1,,5.92,,5.28,,,,
C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,5.6,7.08,5.8,6.85,-1.4800000000000004,-0.20000000000000018,-1.25,-1.4800000000000004
C1=CCOCc2cc(ccc2N2CCOCC2)Nc2nccc(n2)-c2cccc(c2)COC1,5.06,7.22,,6.8,-2.16,,-1.7400000000000002,-2.16
C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,6.02,7.82,6.12,7.08,-1.8000000000000007,-0.10000000000000053,-1.0600000000000005,-1.8000000000000007
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1,5.68,7.32,6.08,7.1,-1.6400000000000006,-0.40000000000000036,-1.42,-1.6400000000000006
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCOCC3)c2)COC1,5.62,7.02,5.48,7.09,-1.3999999999999995,0.13999999999999968,-1.4699999999999998,-1.4699999999999998
C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,,6.64,,7.16,,,,
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,5.89,7.65,6.28,7.3,-1.7600000000000007,-0.39000000000000057,-1.4100000000000001,-1.7600000000000007
C=C(Br)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,6.05,10.37,,,,,
C=C(C#N)C(O)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,6.475,6.625,5.845000000000001,,-0.15000000000000036,0.629999999999999,,-0.15000000000000036
C=C(C)C(=O)N1CCc2ccc(-c3ncnc4[nH]cc(C(=O)OCC)c34)cc21,,,8.64,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OC)c23)ccc1F,,,9.4,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c[nH]c1=O,,,9.33,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)cc(OC)n1,,,10.31,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1C,,,9.82,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1C#N,,,9.85,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1C(=O)N(C)C,,,8.82,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1CN(C)C,,,8.82,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1CO,,,9.96,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1Cl,,,10.89,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1F,,,10.15,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1O,,,9.96,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1OC,,,9.96,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1S(C)(=O)=O,,,10.06,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccn1,,,10.31,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)cn(C)c1=O,,,8.96,,,,,
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)cnc1OC,,,9.17,,,,,
C=C(C)C(=O)Nc1cc(C#N)cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,10.17,,,,,
C=C(C)C(=O)Nc1cc(C)cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,9.72,,,,,
C=C(C)C(=O)Nc1cc(F)cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,10.3,,,,,
C=C(C)C(=O)Nc1ccc(F)c(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,9.96,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccc(C)cc4)c23)c1,,,8.27,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccc(F)cc4)c23)c1,,,8.82,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(C)c4)c23)c1,,,9.77,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4)c23)c1,,,9.23,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4Cl)c23)c1,,,8.82,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4C)c23)c1,,,8.28,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4F)c23)c1,,,9.02,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccnc4)c23)c1,,,8.01,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc(C)s4)c23)c1,,,7.99,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc[nH]4)c23)c1,,,8.12,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnco4)c23)c1,,,8.3,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cncs4)c23)c1,,,8.74,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ncco4)c23)c1,,,8.1,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OC)c23)c1,,,8.7,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,,,9.82,,,,,
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4=CCOCC4)c23)c1,,,8.3,,,,,
